accountsservice 0.6.55-3
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.12-2
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxt 1.2.1-1
libxtst 1.2.3-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
licenses 20200427-1
linux 5.14.9.arch2-1
linux-api-headers 5.12.3-1
linux-firmware 20210919.d526e04-1
llvm-libs 12.0.1-4
lm_sensors 1:3.6.0.r41.g31d1f125-1
lua53 5.3.6-1
lua53-lgi 0.9.2-3
luit 20201003-1
lvm2 2.03.13-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
maim 5.7.4-1
make 4.3-3
mdadm 4.1-2
mesa 21.2.3-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-1
mtdev 1.1.6-1
nano 5.9-1
ncurses 6.2-2
ndctl 71.1-1
nemo 5.0.3-1
nettle 3.7.3-1
networkmanager 1.32.12-1
npth 1.6-3
nspr 4.32-1
nss 3.71-1
ntp 4.2.8.p15-1
openssh 8.8p1-1
openssl 1.1.1.l-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.24.0-1
pacman 6.0.1-2
pacman-mirrorlist 20210822-1
pam 1.5.2-1
pambase 20210605-2
pango 1:1.48.10-1
parted 3.4-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
pinentry 1.1.1-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.119-1
popt 1.18-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
python 3.9.7-1
readline 8.1.001-1
rest 0.8.1-3
rtkit 0.13-1
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
slock 1.4-5
slop 7.5-5
smartmontools 7.2-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.36.0-1
startup-notification 0.12-7
sudo 1.9.8.p2-1
systemd 249.4-2
systemd-libs 249.4-2
systemd-sysvcompat 249.4-2
tar 1.34-1
tdb 1.4.5-1
terminus-font 4.49.1-2
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
tracker3 3.2.0-2
ttf-liberation 2.1.5-1
tzdata 2021c-1
udisks2 2.9.4-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
vim 8.2.3441-1
vim-runtime 8.2.3441-1
volume_key 0.3.12-5
vulkan-icd-loader 1.2.194-1
vulkan-intel 21.2.3-1
wayland 1.19.0-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-8
xapp 2.2.3-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.0-1
xfsprogs 5.13.0-1
xkeyboard-config 2.34-1
xorg-fonts-encodings 1.0.5-2
xorg-server 1.20.13-2
xorg-server-common 1.20.13-2
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorgproto 2021.5-1
xsel 1.2.0.20190821-1
xterm 369-1
xz 5.2.5-2
zeromq 4.3.4-2
zlib 1:1.2.11-4
zstd 1.5.0-1
